# Differences Between Cloudflare Variants

Comparing CF-paris-to-london-2025-04-08, CF-losangeles-to-australia-2025-04-12, CF-japan-to-losangeles-2025-04-10, CF-australia-to-losangeles-2025-04-12, CF-japan-to-australia-2025-04-10, CF-germany-to-australia-2025-04-13, CF-losangeles-to-japan-2025-04-10, CF-australia-to-germany-2025-04-13, CF-australia-to-japan-2025-04-11, CF-losangeles-to-japan-2025-04-13, CF-losangeles-to-australia-2025-04-10, CF-germany-to-australia-2025-04-08, CF-australia-to-japan-2025-04-10, CF-germany-to-australia-2025-03-17, CF-australia-to-japan-2025-04-13, CF-japan-to-australia-2025-04-13, CF-losangeles-to-australia-2025-04-13, CF-germany-to-losangeles-2025-04-14, CF-australia-to-losangeles-2025-04-10, CF-australia-to-losangeles-2025-04-13, CF-japan-to-losangeles-2025-04-12, CF-germany-to-japan-2025-04-13, CF-paris-to-australia-2025-04-08, CF-japan-to-losangeles-2025-04-13, CF-losangeles-to-japan-2025-04-12, CF-japan-to-germany-2025-04-13, CF-australia-to-japan-2025-04-12, CF-losangeles-to-germany-2025-04-13, CF-japan-to-australia-2025-04-12

Total tests with different outcomes: 101

## Test 4: Client preface must include a SETTINGS frame

| Variant | Outcome |
| CF-japan-to-australia-2025-04-10 | dropped |
| CF-germany-to-australia-2025-04-13 | dropped |
| CF-losangeles-to-japan-2025-04-10 | dropped |
| CF-australia-to-germany-2025-04-13 | goaway |
| CF-australia-to-japan-2025-04-11 | dropped |
| CF-losangeles-to-japan-2025-04-13 | dropped |
| CF-losangeles-to-australia-2025-04-10 | dropped |
| CF-germany-to-australia-2025-04-08 | dropped |
| CF-australia-to-japan-2025-04-10 | dropped |
| CF-germany-to-australia-2025-03-17 | dropped |
| CF-australia-to-japan-2025-04-13 | dropped |
| CF-japan-to-australia-2025-04-13 | dropped |
| CF-losangeles-to-australia-2025-04-13 | dropped |
| CF-germany-to-losangeles-2025-04-14 | dropped |
| CF-australia-to-losangeles-2025-04-10 | dropped |
| CF-australia-to-losangeles-2025-04-13 | dropped |
| CF-japan-to-losangeles-2025-04-12 | dropped |
| CF-germany-to-japan-2025-04-13 | dropped |
| CF-paris-to-australia-2025-04-08 | dropped |
| CF-japan-to-losangeles-2025-04-13 | dropped |
| CF-losangeles-to-japan-2025-04-12 | dropped |
| CF-japan-to-germany-2025-04-13 | dropped |
| CF-australia-to-japan-2025-04-12 | dropped |
| CF-losangeles-to-germany-2025-04-13 | dropped |
| CF-japan-to-australia-2025-04-12 | dropped |

## Test 17: If a RST_STREAM frame is received with a stream identifier of 0x00, the recipient MUST treat this as a connection error (Section 5.4.1) of type PROTOCOL_ERROR.

| Variant | Outcome |
|---------|--------|
| CF-paris-to-london-2025-04-08 | dropped |
| CF-losangeles-to-australia-2025-04-12 | dropped |
| CF-japan-to-losangeles-2025-04-10 | dropped |
| CF-australia-to-losangeles-2025-04-12 | dropped |
| CF-japan-to-australia-2025-04-10 | dropped |
| CF-germany-to-australia-2025-04-13 | dropped |
| CF-losangeles-to-japan-2025-04-10 | dropped |
| CF-australia-to-germany-2025-04-13 | dropped |
| CF-australia-to-japan-2025-04-11 | dropped |
| CF-losangeles-to-japan-2025-04-13 | dropped |
| CF-losangeles-to-australia-2025-04-10 | dropped |
| CF-germany-to-australia-2025-04-08 | dropped |
| CF-australia-to-japan-2025-04-10 | dropped |
| CF-germany-to-australia-2025-03-17 | dropped |
| CF-australia-to-japan-2025-04-13 | dropped |
| CF-japan-to-australia-2025-04-13 | goaway |
| CF-losangeles-to-australia-2025-04-13 | dropped |
| CF-germany-to-losangeles-2025-04-14 | dropped |
| CF-australia-to-losangeles-2025-04-10 | dropped |
| CF-australia-to-losangeles-2025-04-13 | dropped |
| CF-japan-to-losangeles-2025-04-12 | dropped |
| CF-germany-to-japan-2025-04-13 | dropped |
| CF-paris-to-australia-2025-04-08 | dropped |
| CF-japan-to-losangeles-2025-04-13 | dropped |
| CF-losangeles-to-japan-2025-04-12 | dropped |
| CF-japan-to-germany-2025-04-13 | dropped |
| CF-australia-to-japan-2025-04-12 | dropped |
| CF-losangeles-to-germany-2025-04-13 | dropped |
| CF-japan-to-australia-2025-04-12 | dropped |

## Test 19: A RST_STREAM frame with a length other than 4 octets MUST be treated as a connection error (Section 5.4.1) of type FRAME_SIZE_ERROR.

| Variant | Outcome |
|---------|--------|
| CF-paris-to-london-2025-04-08 | dropped |
| CF-losangeles-to-australia-2025-04-12 | dropped |
| CF-japan-to-losangeles-2025-04-10 | dropped |
| CF-australia-to-losangeles-2025-04-12 | dropped |
| CF-japan-to-australia-2025-04-10 | goaway |
| CF-germany-to-australia-2025-04-13 | dropped |
| CF-losangeles-to-japan-2025-04-10 | dropped |
| CF-australia-to-germany-2025-04-13 | dropped |
| CF-australia-to-japan-2025-04-11 | dropped |
| CF-losangeles-to-japan-2025-04-13 | dropped |
| CF-losangeles-to-australia-2025-04-10 | dropped |
| CF-germany-to-australia-2025-04-08 | dropped |
| CF-australia-to-japan-2025-04-10 | dropped |
| CF-germany-to-australia-2025-03-17 | dropped |
| CF-australia-to-japan-2025-04-13 | dropped |
| CF-japan-to-australia-2025-04-13 | dropped |
| CF-losangeles-to-australia-2025-04-13 | dropped |
| CF-germany-to-losangeles-2025-04-14 | dropped |
| CF-australia-to-losangeles-2025-04-10 | dropped |
| CF-australia-to-losangeles-2025-04-13 | dropped |
| CF-japan-to-losangeles-2025-04-12 | dropped |
| CF-germany-to-japan-2025-04-13 | dropped |
| CF-paris-to-australia-2025-04-08 | dropped |
| CF-japan-to-losangeles-2025-04-13 | dropped |
| CF-losangeles-to-japan-2025-04-12 | dropped |
| CF-japan-to-germany-2025-04-13 | dropped |
| CF-australia-to-japan-2025-04-12 | dropped |
| CF-losangeles-to-germany-2025-04-13 | dropped |
| CF-japan-to-australia-2025-04-12 | dropped |

## Test 23: A server MUST NOT explicitly set this value (SETTINGS_ENABLE_PUSH) to 1. A server MAY choose to omit this setting (SETTINGS_ENABLE_PUSH) when it sends a SETTINGS frame, but if a server does include a value, it MUST be 0.

| Variant | Outcome |
|---------|--------|
| CF-paris-to-london-2025-04-08 | 500 |
| CF-losangeles-to-australia-2025-04-12 | dropped |
| CF-japan-to-losangeles-2025-04-10 | 500 |
| CF-australia-to-losangeles-2025-04-12 | 500 |
| CF-japan-to-australia-2025-04-10 | 500 |
| CF-germany-to-australia-2025-04-13 | 500 |
| CF-losangeles-to-japan-2025-04-10 | 500 |
| CF-australia-to-germany-2025-04-13 | dropped |
| CF-australia-to-japan-2025-04-11 | dropped |
| CF-losangeles-to-japan-2025-04-13 | dropped |
| CF-losangeles-to-australia-2025-04-10 | 500 |
| CF-germany-to-australia-2025-04-08 | 500 |
| CF-australia-to-japan-2025-04-10 | 500 |
| CF-germany-to-australia-2025-03-17 | dropped |
| CF-australia-to-japan-2025-04-13 | dropped |
